Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/1/2018 1:04,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/1/2018 3:24,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 4:44,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,40
10/1/2018 9:10,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 9:15,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 9:36,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 9:39,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 10:05,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,44
10/1/2018 10:07,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:14,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/1/2018 10:21,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:30,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,49
10/1/2018 10:36,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:39,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 10:58,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/1/2018 10:59,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/1/2018 11:02,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 11:08,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/1/2018 11:22,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 12:41,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/1/2018 13:48,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 13:49,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/1/2018 13:51,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/1/2018 13:52,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/1/2018 16:13,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/1/2018 21:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/1/2018 22:06,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/2/2018 6:52,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/2/2018 7:44,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/2/2018 7:59,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/2/2018 8:01,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/2/2018 8:02,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/2/2018 8:05,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,6
10/2/2018 12:53,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/2/2018 12:54,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,11
10/2/2018 13:09,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/2/2018 13:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/2/2018 13:35,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/2/2018 13:36,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/2/2018 16:12,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/2/2018 16:23,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/2/2018 16:30,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/2/2018 20:07,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,13
10/2/2018 20:16,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,21
10/3/2018 9:26,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/3/2018 9:56,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/3/2018 9:59,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/3/2018 10:28,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/3/2018 11:19,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,0
10/3/2018 11:21,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/3/2018 11:25,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/3/2018 11:43,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/3/2018 12:05,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/3/2018 12:12,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,9
10/3/2018 12:24,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,7
10/3/2018 12:31,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/3/2018 12:55,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/3/2018 13:14,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/3/2018 13:15,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,10
10/3/2018 13:15,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/3/2018 13:16,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,10
10/4/2018 3:19,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,26
10/4/2018 9:55,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/4/2018 12:26,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/4/2018 14:30,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/6/2018 11:11,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/6/2018 11:11,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,5
10/6/2018 20:08,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,2
10/6/2018 20:47,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/6/2018 21:14,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,3
10/7/2018 0:22,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,4
10/7/2018 0:22,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,18
10/7/2018 11:14,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 11:43,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 15:14,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 15:15,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
10/7/2018 15:16,bigenergy.dsc.umich.edu,m-aab-1000-bwmulti-1,PRINT,1
